07.06.2024	1	2	10	12	33	1
06.06.2024	4	10	15	24	26	3
05.06.2024	2	4	8	23	27	2
04.06.2024	1	2	15	24	25	1
03.06.2024	1	19	20	21	34	3
02.06.2024	10	13	14	24	25	2
01.06.2024	9	16	17	26	27	3
31.05.2024	6	23	26	27	30	4
30.05.2024	2	9	18	21	22	2
29.05.2024	1	3	20	32	35	2
28.05.2024	2	9	10	23	35	2
27.05.2024	15	16	22	25	27	1
26.05.2024	3	9	18	19	30	1
25.05.2024	1	7	8	30	33	2
24.05.2024	8	12	15	29	33	3
23.05.2024	4	17	21	32	33	2
22.05.2024	15	18	27	30	35	1
21.05.2024	9	13	16	24	30	1
20.05.2024	2	6	9	23	25	3
19.05.2024	3	15	26	33	34	4
18.05.2024	2	8	14	21	29	4
17.05.2024	2	8	14	15	26	4
16.05.2024	3	5	9	20	31	4
15.05.2024	4	9	16	33	35	1
14.05.2024	11	12	16	23	27	4
13.05.2024	5	16	19	27	33	2
12.05.2024	6	14	18	25	30	3
11.05.2024	2	14	17	27	29	2
10.05.2024	4	13	15	18	22	1
09.05.2024	7	19	25	26	33	2
08.05.2024	4	13	15	19	30	2
07.05.2024	3	9	12	16	17	3
06.05.2024	9	11	23	28	33	1
05.05.2024	11	14	21	29	34	4
04.05.2024	1	9	12	17	20	2
03.05.2024	5	21	29	33	35	4
02.05.2024	10	11	15	18	20	1
01.05.2024	3	4	10	11	21	3
30.04.2024	5	8	15	28	29	1
29.04.2024	13	30	31	33	34	4
28.04.2024	3	12	15	25	27	1
27.04.2024	3	8	12	17	18	3
26.04.2024	8	17	25	28	32	4
25.04.2024	6	13	25	30	31	3
24.04.2024	8	9	19	23	34	4
23.04.2024	1	14	29	31	32	2
22.04.2024	1	15	16	28	31	3
21.04.2024	14	20	22	24	35	1
20.04.2024	1	3	26	27	28	2
19.04.2024	2	8	9	10	11	2
18.04.2024	2	14	15	19	20	3
17.04.2024	12	15	27	32	34	1
16.04.2024	1	26	28	30	32	4
15.04.2024	8	20	23	30	33	1
14.04.2024	16	17	20	21	35	1
13.04.2024	4	21	24	27	32	3
12.04.2024	7	16	19	28	34	3
11.04.2024	17	25	30	31	34	2
10.04.2024	7	20	24	27	32	4
09.04.2024	8	29	30	31	32	3
08.04.2024	1	23	28	30	34	2
07.04.2024	10	11	20	26	33	4
06.04.2024	3	8	19	21	24	3
05.04.2024	8	14	25	30	31	2
04.04.2024	1	16	20	22	35	2
03.04.2024	2	4	7	13	15	1
02.04.2024	4	8	12	19	27	3
01.04.2024	3	6	9	11	33	2
31.03.2024	7	8	13	18	19	1
30.03.2024	11	16	20	27	34	2
29.03.2024	9	26	27	33	35	2
28.03.2024	4	9	18	26	29	1
27.03.2024	10	19	20	26	35	4
26.03.2024	3	18	21	22	34	4
25.03.2024	4	8	9	12	14	1
24.03.2024	7	8	14	17	19	2
23.03.2024	20	29	32	34	35	4
22.03.2024	4	15	30	31	35	3
21.03.2024	5	17	20	28	32	1
20.03.2024	11	14	22	30	33	2
19.03.2024	4	5	10	21	23	3
18.03.2024	1	20	24	31	34	2
17.03.2024	8	11	12	14	23	3
16.03.2024	1	2	9	24	25	1
15.03.2024	4	15	17	18	27	3
14.03.2024	8	14	20	22	29	2
13.03.2024	2	10	13	14	20	1
12.03.2024	3	9	15	26	35	1
11.03.2024	7	21	26	28	34	4
10.03.2024	6	11	16	21	31	1
09.03.2024	9	14	16	18	22	1
08.03.2024	4	15	20	28	31	1
07.03.2024	1	3	4	22	31	4
06.03.2024	6	7	20	22	35	4
05.03.2024	5	7	12	21	34	3
04.03.2024	13	26	27	31	32	1
03.03.2024	1	15	19	26	33	3
02.03.2024	9	10	15	27	33	1
01.03.2024	1	9	18	21	32	2
29.02.2024	16	20	25	27	28	1
28.02.2024	3	5	6	14	20	1
27.02.2024	6	18	20	21	24	1
26.02.2024	4	8	16	32	35	2
25.02.2024	18	22	25	33	35	2
24.02.2024	18	20	26	30	33	3
23.02.2024	13	24	27	28	30	2
22.02.2024	5	12	17	28	29	3
21.02.2024	4	12	14	22	33	1
20.02.2024	14	19	20	22	31	1
19.02.2024	1	6	21	24	29	1
18.02.2024	3	16	20	22	30	4
17.02.2024	11	13	23	32	35	3
16.02.2024	5	16	19	24	28	2
15.02.2024	1	16	22	26	27	1
14.02.2024	5	7	16	25	27	4
13.02.2024	11	14	15	16	35	4
12.02.2024	7	19	21	22	26	1
11.02.2024	2	7	10	14	20	4
10.02.2024	11	17	18	22	25	4
09.02.2024	2	10	21	23	28	2
08.02.2024	6	12	15	32	34	4
07.02.2024	5	8	19	23	33	4
06.02.2024	1	7	26	27	28	3
05.02.2024	1	13	20	22	28	3
04.02.2024	6	9	10	18	27	1
03.02.2024	3	6	8	27	34	4
02.02.2024	16	20	27	32	33	4
01.02.2024	6	7	10	14	30	4
31.01.2024	1	11	15	16	24	1
30.01.2024	2	3	11	15	19	1
29.01.2024	10	16	19	20	35	4
28.01.2024	6	8	13	25	28	4
27.01.2024	1	5	18	24	25	3
26.01.2024	3	13	17	20	25	1
25.01.2024	1	10	23	24	25	2
24.01.2024	5	10	24	26	29	4
23.01.2024	8	17	18	26	35	4
22.01.2024	5	12	14	20	26	4
21.01.2024	4	15	17	26	33	4
20.01.2024	18	20	21	26	33	3
19.01.2024	11	14	16	22	29	3
18.01.2024	4	21	24	25	31	4
17.01.2024	2	17	19	22	34	3
16.01.2024	3	9	11	25	30	4
15.01.2024	12	14	24	29	31	4
14.01.2024	1	9	31	32	35	4
13.01.2024	10	11	14	20	22	3
12.01.2024	6	9	16	17	33	4
11.01.2024	10	12	19	21	24	1
10.01.2024	7	14	23	32	34	1
09.01.2024	1	21	23	24	26	4
08.01.2024	2	10	12	25	26	2
07.01.2024	8	16	19	21	32	1
06.01.2024	2	3	6	9	35	2
05.01.2024	6	23	24	31	34	4
04.01.2024	8	12	14	15	22	3
03.01.2024	2	8	24	27	34	1
02.01.2024	6	20	25	26	28	1
01.01.2024	4	5	15	24	30	4
31.12.2023	13	18	19	27	33	2
30.12.2023	16	18	23	24	27	1
29.12.2023	16	28	29	30	35	4
28.12.2023	5	7	12	30	35	1
27.12.2023	16	23	25	26	29	4
26.12.2023	21	25	26	30	34	4
25.12.2023	5	11	21	25	31	4
24.12.2023	5	12	23	29	35	4
23.12.2023	6	7	8	10	19	4
22.12.2023	3	8	20	24	30	4
21.12.2023	5	17	24	27	32	2
20.12.2023	3	4	10	19	28	3
19.12.2023	3	12	14	17	24	4
18.12.2023	15	19	21	31	33	4
17.12.2023	13	15	24	25	27	3
16.12.2023	5	9	20	21	25	1
15.12.2023	4	20	23	34	35	3
14.12.2023	1	14	21	22	26	3
13.12.2023	1	18	28	29	35	2
12.12.2023	5	9	10	11	34	2
11.12.2023	3	11	15	25	34	4
10.12.2023	4	13	25	26	34	3
09.12.2023	7	8	31	32	33	4
08.12.2023	13	15	20	29	34	3
07.12.2023	16	19	25	29	35	1
06.12.2023	1	8	12	29	31	1
05.12.2023	7	9	10	24	30	4
04.12.2023	22	26	28	30	31	3
03.12.2023	2	3	8	34	35	4
02.12.2023	3	8	13	15	18	2
01.12.2023	3	19	26	31	32	4
30.11.2023	2	4	18	30	34	2
29.11.2023	13	15	17	25	35	2
28.11.2023	1	16	18	20	33	3
27.11.2023	2	13	26	30	31	2
26.11.2023	9	12	15	22	24	2
25.11.2023	1	6	9	13	21	1
24.11.2023	1	5	19	22	24	4
23.11.2023	1	4	8	10	15	1
22.11.2023	12	17	18	31	34	1
21.11.2023	21	24	29	33	35	3
20.11.2023	8	13	16	21	23	4
19.11.2023	17	28	29	31	33	2
18.11.2023	5	7	13	22	34	3
17.11.2023	5	7	12	21	29	3
16.11.2023	11	13	15	26	33	1
